GM (GENERAL MOTORS COMPANY),41.09,-0.76,
Feb 18 2018 @ 16:17 ET,Bid,41.08,Ask,41.09,Size,0x0,Vol,14871775,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
18 Feb 23.00 (GM1816B23-Y),0.0,0.0,15.50,20.50,0,88,18 Feb 23.00 (GM1816N23-Y),0.0,0.0,0.0,5.00,0,761,
18 Feb 24.00 (GM1816B24),16.80,0.0,17.05,17.30,0,48,18 Feb 24.00 (GM1816N24),0.02,0.0,0.0,0.03,0,128,
18 Feb 24.00 (GM1816B24-3),16.80,0.0,17.05,17.30,0,48,18 Feb 24.00 (GM1816N24-3),0.0,0.0,0.0,0.03,0,128,
18 Feb 24.00 (GM1816B24-4),0.0,0.0,17.05,17.30,0,48,18 Feb 24.00 (GM1816N24-4),0.30,0.0,0.0,0.03,0,128,
18 Feb 24.00 (GM1816B24-8),0.0,0.0,16.75,17.65,0,48,18 Feb 24.00 (GM1816N24-8),0.0,0.0,0.0,0.27,0,128,
18 Feb 24.00 (GM1816B24-A),0.0,0.0,16.75,17.65,0,48,18 Feb 24.00 (GM1816N24-A),0.19,0.0,0.0,0.03,0,128,
18 Feb 24.00 (GM1816B24-B),0.0,0.0,17.05,17.30,0,48,18 Feb 24.00 (GM1816N24-B),0.02,0.0,0.0,0.03,0,128,
18 Feb 24.00 (GM1816B24-E),0.0,0.0,16.85,17.30,0,48,18 Feb 24.00 (GM1816N24-E),0.19,0.0,0.0,0.03,0,128,
18 Feb 24.00 (GM1816B24-I),0.0,0.0,16.95,17.30,0,48,18 Feb 24.00 (GM1816N24-I),0.19,0.0,0.0,0.03,0,128,
18 Feb 24.00 (GM1816B24-J),0.0,0.0,17.05,17.30,0,48,18 Feb 24.00 (GM1816N24-J),0.0,0.0,0.0,0.03,0,128,
18 Feb 24.00 (GM1816B24-K),0.0,0.0,14.70,19.50,0,48,18 Feb 24.00 (GM1816N24-K),0.0,0.0,0.0,5.00,0,128,
18 Feb 24.00 (GM1816B24-O),17.40,0.0,16.95,17.30,0,48,18 Feb 24.00 (GM1816N24-O),0.24,0.0,0.0,0.03,0,128,
18 Feb 24.00 (GM1816B24-OG),0.0,0.0,17.05,17.30,0,48,18 Feb 24.00 (GM1816N24-OG),0.18,0.0,0.0,0.03,0,128,
18 Feb 24.00 (GM1816B24-P),0.0,0.0,17.00,17.30,0,48,18 Feb 24.00 (GM1816N24-P),0.0,0.0,0.0,0.03,0,128,
18 Feb 24.00 (GM1816B24-S),0.0,0.0,16.95,17.30,0,48,18 Feb 24.00 (GM1816N24-S),0.25,0.0,0.0,0.03,0,128,
18 Feb 24.00 (GM1816B24-X),16.70,0.0,17.05,17.30,0,48,18 Feb 24.00 (GM1816N24-X),0.12,0.0,0.0,0.04,0,128,
18 Feb 24.00 (GM1816B24-Y),0.0,0.0,16.85,17.30,0,48,18 Feb 24.00 (GM1816N24-Y),0.20,0.0,0.0,0.03,0,128,
18 Feb 25.00 (GM1816B25),16.75,0.0,16.05,16.20,0,71,18 Feb 25.00 (GM1816N25),0.01,0.0,0.0,0.03,0,452,
18 Feb 25.00 (GM1816B25-3),16.45,0.0,16.05,16.20,0,71,18 Feb 25.00 (GM1816N25-3),0.0,0.0,0.0,0.03,0,452,
18 Feb 25.00 (GM1816B25-4),0.0,0.0,16.05,16.20,0,71,18 Feb 25.00 (GM1816N25-4),0.0,0.0,0.0,0.03,0,452,
18 Feb 25.00 (GM1816B25-8),0.0,0.0,14.70,18.10,0,71,18 Feb 25.00 (GM1816N25-8),0.21,0.0,0.0,0.27,0,452,
18 Feb 25.00 (GM1816B25-A),0.0,0.0,15.75,16.40,0,71,18 Feb 25.00 (GM1816N25-A),0.41,0.0,0.0,0.03,0,452,
18 Feb 25.00 (GM1816B25-B),0.0,0.0,16.05,16.20,0,71,18 Feb 25.00 (GM1816N25-B),0.06,0.0,0.0,0.03,0,452,
18 Feb 25.00 (GM1816B25-E),0.0,0.0,15.85,16.20,0,71,18 Feb 25.00 (GM1816N25-E),0.01,0.0,0.0,0.03,0,452,
18 Feb 25.00 (GM1816B25-I),0.0,0.0,16.05,16.20,0,71,18 Feb 25.00 (GM1816N25-I),0.03,0.0,0.0,0.03,0,452,
18 Feb 25.00 (GM1816B25-J),0.0,0.0,16.05,16.20,0,71,18 Feb 25.00 (GM1816N25-J),0.0,0.0,0.0,0.03,0,452,
18 Feb 25.00 (GM1816B25-K),0.0,0.0,13.65,18.50,0,71,18 Feb 25.00 (GM1816N25-K),0.0,0.0,0.0,5.00,0,452,
18 Feb 25.00 (GM1816B25-O),16.40,0.0,15.95,16.20,0,71,18 Feb 25.00 (GM1816N25-O),0.01,0.0,0.0,0.03,0,452,
18 Feb 25.00 (GM1816B25-OG),0.0,0.0,16.05,16.20,0,71,18 Feb 25.00 (GM1816N25-OG),0.0,0.0,0.0,0.03,0,452,
18 Feb 25.00 (GM1816B25-P),0.0,0.0,16.05,16.20,0,71,18 Feb 25.00 (GM1816N25-P),0.03,0.0,0.0,0.03,0,452,
18 Feb 25.00 (GM1816B25-S),0.0,0.0,16.05,16.20,0,71,18 Feb 25.00 (GM1816N25-S),0.0,0.0,0.0,0.03,0,452,
18 Feb 25.00 (GM1816B25-X),16.75,0.0,16.05,16.20,0,71,18 Feb 25.00 (GM1816N25-X),0.03,0.0,0.0,0.04,0,452,
18 Feb 25.00 (GM1816B25-Y),0.0,0.0,15.85,16.20,0,71,18 Feb 25.00 (GM1816N25-Y),0.21,0.0,0.0,0.03,0,452,
18 Feb 26.00 (GM1816B26),17.40,0.0,15.05,15.25,0,73,18 Feb 26.00 (GM1816N26),0.05,0.0,0.0,0.03,0,82,
18 Feb 26.00 (GM1816B26-3),17.40,0.0,15.05,15.25,0,73,18 Feb 26.00 (GM1816N26-3),0.0,0.0,0.0,0.03,0,82,
18 Feb 26.00 (GM1816B26-4),0.0,0.0,15.05,15.25,0,73,18 Feb 26.00 (GM1816N26-4),0.0,0.0,0.0,0.03,0,82,
18 Feb 26.00 (GM1816B26-8),0.0,0.0,13.00,17.50,0,73,18 Feb 26.00 (GM1816N26-8),0.44,0.0,0.0,0.27,0,82,
18 Feb 26.00 (GM1816B26-A),0.0,0.0,0.0,0.0,0,73,18 Feb 26.00 (GM1816N26-A),0.0,0.0,0.0,0.0,0,82,
18 Feb 26.00 (GM1816B26-B),0.0,0.0,15.05,15.25,0,73,18 Feb 26.00 (GM1816N26-B),0.05,0.0,0.0,0.03,0,82,
18 Feb 26.00 (GM1816B26-E),0.0,0.0,14.85,15.25,0,73,18 Feb 26.00 (GM1816N26-E),0.32,0.0,0.0,0.03,0,82,
18 Feb 26.00 (GM1816B26-I),15.35,0.0,15.00,15.25,0,73,18 Feb 26.00 (GM1816N26-I),0.0,0.0,0.0,0.03,0,82,
